RowID,State,CoC Name,CoC ID,HUD CoC Number,Year,Organization Name,Program Name,Program Type,Bed Type,Geo Code,Inventory Type,Target Population A,Target Population B,Mc Kinney-Vento,Beds for Households With Children,Units for Households With Children,Beds for Households Without Children,Beds for Households With Only Children,Total Year Round Beds,Chronically Homeless Beds,HMIS Beds for Households With Children,HMIS Beds for Households Without Children,HMIS Beds for Households With Only Children,Domestic Violence Beds,Total Seasonal Beds,Seasonal Beds Available in HMIS,Availability Start Date,Availability End Date,Overflow and Voucher Beds,HMIS Overflow and Voucher Beds,PIT Count,Total Beds
128089,AK,Alaska Balance of State CoC,1105,AK-501,2012,Tanana Chiefs Conference,Housing First Chr PSH,PSH,,029090,U,SMF,NA,TRUE,0,0,6,0,6,6,0,0,0,,,,,,,,,6
128090,AK,Alaska Balance of State CoC,1105,AK-501,2012,Tanana Chiefs Conference,Housing First PSH,PSH,,029090,U,SMF,,TRUE,0,0,9,0,9,0,0,0,0,,,,,,,,,9
110459,AK,Alaska Balance of State CoC,1105,AK-501,2012,Tundra Women's Coalition,DV Shelter,ES,F,029050,C,SFHC,DV,FALSE,17,7,8,,25,,,,,25,0,0,,,0,0,19,25
110475,AK,Alaska Balance of State CoC,1105,AK-501,2012,Tundra Women's Coalition,Transitional Program,TH,F,029050,C,SFHC,DV,TRUE,4,2,0,0,4,,,,,4,,,,,,,0,4
110460,AK,Alaska Balance of State CoC,1105,AK-501,2012,Unalaskans SAFV,DV Shelter,ES,F,029016,C,SFHC,DV,FALSE,3,1,1,,4,,,,,4,0,0,,,0,0,1,4
110489,AK,Alaska Balance of State CoC,1105,AK-501,2012,Valley Residential Services,Bev's Place,PSH,,029170,C,SMF,NA,TRUE,,,6,,6,0,,6,,,,,,,,,6,6
110487,AK,Alaska Balance of State CoC,1105,AK-501,2012,Valley Residential Services,Housing Now I S+C,PSH,,029170,C,SMF,NA,TRUE,,,6,,6,5,,6,,,,,,,,,5,6
110486,AK,Alaska Balance of State CoC,1105,AK-501,2012,Valley Residential Services,Housing Now II S+C,PSH,,029170,C,SMF+HC,NA,TRUE,7,2,6,,13,1,7,6,,,,,,,,,13,13
110488,AK,Alaska Balance of State CoC,1105,AK-501,2012,Valley Residential Services,Vaunda,PSH,,029170,C,SMF+HC,NA,TRUE,2,1,3,,5,0,2,3,,,,,,,,,4,5
110461,AK,Alaska Balance of State CoC,1105,AK-501,2012,Women in Safe Homes,DV Shelter,ES,F,029130,C,SFHC,DV,FALSE,14,5,12,,26,,,,,26,0,0,,,0,,20,26
110490,AK,Alaska Balance of State CoC,1105,AK-501,2012,Yukon-Kuskokwim Hlth Crp,Camai S+C,PSH,,029050,C,SMF+HC,NA,TRUE,7,4,5,,12,2,0,0,,,,,,,,,12,12
112381,AK,Anchorage CoC,1021,AK-500,2012,Abused Women's Aid in Crisis,AWAIC Shelter,ES,F,020078,C,SFHC,DV,TRUE,32,11,20,0,52,,,,,52,0,0,,,0,0,50,52
112388,AK,Anchorage CoC,1021,AK-500,2012,Abused Women's Aid in Crisis,Harmony House,TH,F,020078,C,SF,DV,FALSE,,,10,,10,,,,,10,,,,,,,8,10
112382,AK,Anchorage CoC,1021,AK-500,2012,Abused Women's Aid in Crisis,Willa's Way,ES,F,020078,C,SFHC,DV,FALSE,14,1,0,0,14,,,,,14,0,0,,,0,,11,14
112399,AK,Anchorage CoC,1021,AK-500,2012,Alaskan AIDS Assistance Association,6-plex project,PSH,,020078,C,SMF+HC,HIV,TRUE,22,6,14,,36,0,22,14,,,,,,,,,33,36
112406,AK,Anchorage CoC,1021,AK-500,2012,Alaskan AIDS Assistance Association,Shelter + Care,PSH,,020078,C,SMF+HC,HIV,TRUE,10,5,13,,23,1,10,13,,,,,,,,,23,23
112398,AK,Anchorage CoC,1021,AK-500,2012,Anchor Arms,Safe Harbor Inn,TH,F,020078,C,SMF+HC,,FALSE,145,65,20,,165,,145,20,,,,,,,,,162,165
112401,AK,Anchorage CoC,1021,AK-500,2012,Anchorage Community Mental Health Services,ACMHS SPC,PSH,,020078,C,SMF+HC,,TRUE,26,9,34,,60,0,26,34,,,,,,,,,60,60
112400,AK,Anchorage CoC,1021,AK-500,2012,Anchorage Community Mental Health Services,Permanent Housing,PSH,,020078,C,SMF+HC,NA,TRUE,23,4,82,,105,0,23,82,,,,,,,,,105,105
112389,AK,Anchorage CoC,1021,AK-500,2012,Anchorage Community Mental Health Services,Transitional SRO,TH,F,020078,C,SMF+HC,,TRUE,2,1,19,,21,,2,19,,,,,,,,,19,21
112402,AK,Anchorage CoC,1021,AK-500,2012,Anchorage Housing Initiatives,Coming Home I,PSH,,020078,C,SMF,,TRUE,,,15,,15,15,,15,,,,,,,,,14,15
112403,AK,Anchorage CoC,1021,AK-500,2012,Anchorage Housing Initiatives,Coming Home II,PSH,,020078,C,SMF+HC,,TRUE,15,6,20,,35,7,15,20,,,,,,,,,35,35
112413,AK,Anchorage CoC,1021,AK-500,2012,Anchorage Neighborhood Housing Services,Adelaide SRO,PSH,,020078,C,SMF,NA,FALSE,,,71,,71,0,,71,,,,,,,,,71,71
112383,AK,Anchorage CoC,1021,AK-500,2012,Anchorage Rescue Mission,Anchorage Rescue Mission,ES,F,020078,C,SMF,NA,FALSE,,,40,,40,,,40,,,0,0,,,0,,30,40
112407,AK,Anchorage CoC,1021,AK-500,2012,Anchorage Rescue Mission,New Life,TH,F,020078,C,SMF,,FALSE,,,20,,20,,,20,,,,,,,,,18,20
112384,AK,Anchorage CoC,1021,AK-500,2012,Catholic Social Services,Brother Francis Shelter,ES,F,020078,C,SMF,,FALSE,,,240,,240,,,240,,,0,0,,,149,149,389,389
112385,AK,Anchorage CoC,1021,AK-500,2012,Catholic Social Services,Clare House,ES,F,020078,C,HC,NA,FALSE,45,12,,,45,,45,,,,0,0,,,0,,46,45
112417,AK,Anchorage CoC,1021,AK-500,2012,Catholic Social Services,HPRP,HPRP,,020078,C,HC,NA,FALSE,33,15,,,33,,33,,,,,,,,,,33,33
112412,AK,Anchorage CoC,1021,AK-500,2012,Catholic Social Services,Permanent Housing Beyond Shelter,PSH,,020078,C,HC,,FALSE,19,3,,,19,0,0,,,,,,,,,,18,19
112416,AK,Anchorage CoC,1021,AK-500,2012,Catholic Social Services,Rapid Re-Housing Demonstration - Beyond Shelter,TH,V,020078,N,HC,NA,TRUE,33,10,,,33,,33,,,,,,,,,,33,33
112386,AK,Anchorage CoC,1021,AK-500,2012,Covenant House,Crisis Center,ES,F,020078,C,SMF,NA,FALSE,,,40,,40,,,40,,,0,0,,,0,,40,40
112392,AK,Anchorage CoC,1021,AK-500,2012,Covenant House Alaska,Passage House,TH,F,020078,C,HC,NA,FALSE,10,5,,,10,,10,,,,,,,,,,10,10
112391,AK,Anchorage CoC,1021,AK-500,2012,Covenant House Alaska,Rights of Passage,TH,F,020078,C,SMF,,TRUE,,,14,,14,,,14,,,,,,,,,14,14
112393,AK,Anchorage CoC,1021,AK-500,2012,Lutheran Social Services,Transitions,TH,F,020078,C,SM,,FALSE,,,6,,6,,,0,,,,,,,,,6,6
112411,AK,Anchorage CoC,1021,AK-500,2012,Mary Magdalene Homes,Mary Magdalene House,TH,F,020078,C,SF,,FALSE,,,3,,3,,,0,,,,,,,,,0,3
112414,AK,Anchorage CoC,1021,AK-500,2012,Municipality of Anchorage/DHHS,MOA/DHHS/Transfer Station,ES,F,020078,C,SMF,NA,FALSE,,,30,,30,,,0,,,0,0,,,20,0,50,50
112415,AK,Anchorage CoC,1021,AK-500,2012,New Life Development (NLD),NLD Transitional Living,TH,F,020078,N,SMF+HC,,FALSE,9,3,29,,38,,9,29,,,,,,,,,29,38
112408,AK,Anchorage CoC,1021,AK-500,2012,Rural Alaska Community Action Program,Affordable Housing - North Lane,PSH,,020078,C,SMF,NA,FALSE,,,10,,10,3,,10,,,,,,,,,9,10
112409,AK,Anchorage CoC,1021,AK-500,2012,Rural Alaska Community Action Program,Affordable Housing - Peterkin & Davis,PSH,,020078,C,SMF,NA,FALSE,,,14,,14,3,,14,,,,,,,,,14,14
112410,AK,Anchorage CoC,1021,AK-500,2012,Rural Alaska Community Action Program,Shelter Plus Care,PSH,,020078,C,SMF,,TRUE,,,5,,5,3,,5,,,,,,,,,4,5
112394,AK,Anchorage CoC,1021,AK-500,2012,Rural Alaska Community Action Program (RurAL CAP),Homeward Bound,TH,F,020078,C,SMF,NA,TRUE,,,25,,25,,,25,,,,,,,,,24,25
121411,AK,Anchorage CoC,1021,AK-500,2012,Rural Alaska Community Action Program (RurAL CAP),Karluk Manor,PSH,,020078,C,SMF,NA,FALSE,,,46,,46,5,,46,,,,,,,,,46,46
112395,AK,Anchorage CoC,1021,AK-500,2012,Salvation Army,Eagle Crest,TH,F,020078,C,SMF,NA,FALSE,,,50,,50,,,50,,,,,,,,,50,50
112387,AK,Anchorage CoC,1021,AK-500,2012,Salvation Army,McKinnell House,ES,F,020078,C,HC,,FALSE,60,16,,,60,,60,,,,0,0,,,0,0,53,60
118611,AK,Anchorage CoC,1021,AK-500,2012,"Shiloh Community Housing, Inc.",L.I.F.E. Program,TH,F,020078,C,SMF,NA,FALSE,,,11,,11,,,11,,,,,,,,,8,11
112396,AK,Anchorage CoC,1021,AK-500,2012,U.S. Department of Veterans Affairs,Domiciliary Care,ES,F,020078,C,SMF,VET,FALSE,,,50,,50,,,0,,,0,0,,,0,0,35,50
112397,AK,Anchorage CoC,1021,AK-500,2012,U.S. Department of Veterans Affairs,VA Transitional,TH,F,020078,C,SMF,VET,FALSE,,,24,,24,,,0,,,,,,,,,12,24
112404,AK,Anchorage CoC,1021,AK-500,2012,US Department of Veterans Affairs,VASH Section 8,PSH,,020078,C,SMF+HC,VET,FALSE,40,14,37,,77,0,0,0,,,,,,,,,77,77
111906,AL,Alabama Balance of State CoC,1380,AL-507,2012,"Alabama Rural Coalition for the Homeless, Inc.",HPRP,HPRP,,010624,N,SMF+HC,NA,FALSE,48,12,8,,56,,48,8,,,,,,,,,56,56
111872,AL,Alabama Balance of State CoC,1380,AL-507,2012,Cahaba Mental Health,Brandley Heights Apts.,PSH,,019047,C,SMF,NA,FALSE,,,10,,10,1,,0,,,,,,,,,10,10
111844,AL,Alabama Balance of State CoC,1380,AL-507,2012,Cahaba Mental Health,Cahaba Place TCH,TH,F,019047,C,SMF,NA,FALSE,,,12,,12,,,0,,,,,,,,,12,12
111873,AL,Alabama Balance of State CoC,1380,AL-507,2012,Cahaba Mental Health,College Manor Apts.,PSH,,019047,C,SMF,NA,FALSE,,,11,,11,1,,0,,,,,,,,,11,11
111874,AL,Alabama Balance of State CoC,1380,AL-507,2012,Cahaba Mental Health,College Manor FH,PSH,,019047,C,SMF,NA,FALSE,,,8,,8,0,,0,,,,,,,,,8,8
111845,AL,Alabama Balance of State CoC,1380,AL-507,2012,Cahaba Mental Health,Hilltop Home,TH,F,019047,C,SMF,NA,FALSE,,,10,,10,,,0,,,,,,,,,9,10
111846,AL,Alabama Balance of State CoC,1380,AL-507,2012,Cahaba Mental Health,McDowell House,TH,F,019047,C,SMF,NA,FALSE,,,12,,12,,,0,,,,,,,,,12,12
111875,AL,Alabama Balance of State CoC,1380,AL-507,2012,Cahaba Mental Health,Old Town Apts.,PSH,,019047,C,SMF,NA,FALSE,,,12,,12,0,,0,,,,,,,,,12,12
111914,AL,Alabama Balance of State CoC,1380,AL-507,2012,"Central Alabama Veterans Health Care System (CAVHCS), East Campus",VADOM-CAVHCS,ES,F,019087,C,SMF+HC,VET,FALSE,25,12,18,,43,,,,,,,,,,,,43,43
111876,AL,Alabama Balance of State CoC,1380,AL-507,2012,Cheaha,Hickory Village,PSH,,019121,C,SMF,NA,FALSE,,,31,,31,2,,0,,,,,,,,,30,31
111847,AL,Alabama Balance of State CoC,1380,AL-507,2012,Cheaha,Hillwood,TH,F,019121,C,SMF,NA,FALSE,,,15,,15,,,0,,,,,,,,,15,15
111877,AL,Alabama Balance of State CoC,1380,AL-507,2012,Cheaha,Hooten Apartments,PSH,,019121,C,SMF,NA,FALSE,,,10,,10,0,,0,,,,,,,,,10,10
111878,AL,Alabama Balance of State CoC,1380,AL-507,2012,Cheaha,Scattered Sites,PSH,,019121,C,SMF,NA,FALSE,,,12,,12,0,,0,,,,,,,,,12,12
111879,AL,Alabama Balance of State CoC,1380,AL-507,2012,Cullman Mental Health,Perkin's Place,PSH,,019043,C,SMF,NA,FALSE,,,9,,9,0,,0,,,,,,,,,9,9
111880,AL,Alabama Balance of State CoC,1380,AL-507,2012,Cullman Mental Health,Supportive Housing,PSH,,019043,C,SMF,NA,FALSE,,,4,,4,0,,0,,,,,,,,,4,4
111908,AL,Alabama Balance of State CoC,1380,AL-507,2012,Dale County Rescue Mission,Dale County Rescue Mission,ES,F,019045,N,SMF,NA,FALSE,,,10,,10,,,,,,,,,,,,10,10
111831,AL,Alabama Balance of State CoC,1380,AL-507,2012,Daybreak,Daybreak,ES,F,019127,C,SFHC,DV,FALSE,9,3,0,,9,,,,,9,0,0,,,0,,7,9
111832,AL,Alabama Balance of State CoC,1380,AL-507,2012,Daystar House,Daystar,ES,F,019043,C,SFHC,DV,FALSE,5,2,0,,5,,,,,5,0,0,,,0,,3,5
111910,AL,Alabama Balance of State CoC,1380,AL-507,2012,Divine Inspiration Ministries,Divine Inspiration Ministries,ES,F,019087,C,SMF,NA,TRUE,,,3,,3,,,3,,,,,,,,,3,3
111911,AL,Alabama Balance of State CoC,1380,AL-507,2012,Divine Inspiration Ministries,GPD-Divine Inspiration Ministries,TH,F,019087,C,SMF,VET,FALSE,,,7,,7,,,7,,,,,,,,,7,7
111833,AL,Alabama Balance of State CoC,1380,AL-507,2012,Domestic Violence Intervention Center,Domestic Violence Intervention Center,ES,F,019081,C,SFHC,DV,FALSE,8,2,4,,12,,,,,12,0,0,,,0,,6,12
111834,AL,Alabama Balance of State CoC,1380,AL-507,2012,Dothan Rescue Mission,Dothan Rescue Mission,ES,F,010624,C,SMF+HC,NA,FALSE,25,5,5,,30,,0,0,,,0,0,,,0,,29,30
111881,AL,Alabama Balance of State CoC,1380,AL-507,2012,East Alabama,Parkway Foster Home,PSH,,019081,C,SMF,NA,FALSE,,,2,,2,0,,0,,,,,,,,,2,2
111882,AL,Alabama Balance of State CoC,1380,AL-507,2012,East Alabama,Parkway Supervised Apts.,PSH,,019081,C,SMF,NA,FALSE,,,12,,12,0,,0,,,,,,,,,10,12
131776,AL,Alabama Balance of State CoC,1380,AL-507,2012,East Alabama AIDS Outreach,ARAP I,PSH,,011740,C,SMF+HC,NA,FALSE,3,1,,,3,,,,,,,,,,,,2,3
111883,AL,Alabama Balance of State CoC,1380,AL-507,2012,East Alabama AIDS Outreach,ARAP II,PSH,,011740,C,SMF+HC,NA,FALSE,8,2,1,,9,0,0,0,,,,,,,,,7,9
111849,AL,Alabama Balance of State CoC,1380,AL-507,2012,East Alabama AIDS Outreach,WC Walker House,TH,V,019121,C,SMF+HC,HIV,FALSE,4,1,0,,4,,,0,,,,,,,,,3,4
111852,AL,Alabama Balance of State CoC,1380,AL-507,2012,East Alabama Mental Health,Griffin Mill,TH,F,019081,C,SMF,NA,FALSE,,,8,,8,,,0,,,,,,,,,8,8
111851,AL,Alabama Balance of State CoC,1380,AL-507,2012,East Alabama Mental Health,New Home,TH,F,019081,C,SMF,NA,FALSE,,,10,,10,,,0,,,,,,,,,10,10
111850,AL,Alabama Balance of State CoC,1380,AL-507,2012,East Alabama Mental Health,Waverly House,TH,F,019081,C,SMF,NA,FALSE,,,12,,12,,,0,,,,,,,,,12,12
111835,AL,Alabama Balance of State CoC,1380,AL-507,2012,East Alabama Mental Health Center,East Alabama Mental Health Center,ES,F,011740,C,SM,NA,FALSE,,,10,,10,,,0,,,0,0,,,0,,10,10
111853,AL,Alabama Balance of State CoC,1380,AL-507,2012,East Central Mental Health,Magnolia Behavior GH,TH,F,019109,C,SMF,NA,FALSE,,,14,,14,,,0,,,,,,,,,14,14
111854,AL,Alabama Balance of State CoC,1380,AL-507,2012,East Central Mental Health,Magnolia Medical GH,TH,F,019109,C,SM,NA,FALSE,,,16,,16,,,0,,,,,,,,,14,16
111855,AL,Alabama Balance of State CoC,1380,AL-507,2012,East Central Mental Health,Magnolia Retirement GH,TH,F,019109,C,SMF,NA,FALSE,,,16,,16,,,0,,,,,,,,,16,16
111856,AL,Alabama Balance of State CoC,1380,AL-507,2012,East Central Mental Health,Magnolia Wood Lodge,TH,F,019109,C,SMF,NA,FALSE,,,12,,12,,,0,,,,,,,,,12,12
111913,AL,Alabama Balance of State CoC,1380,AL-507,2012,East Central Mental Health,Maxwell RICH,TH,F,019087,C,SMF,NA,FALSE,,,14,,14,,,,,,,,,,,,14,14
